Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
491.0,26.0,123.0,210.0,3.9,882.0,699.0,3.0,25.61
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,3.0,18.0
144.0,15.0,195.0,176.0,6.0,1021.0,709.0,28.0,15.34
213.5,0.0,174.2,159.2,11.7,1043.6,771.9,100.0,52.96
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,56.0,35.85
145.4,0.0,178.9,201.7,7.8,824.0,868.7,28.0,10.54
397.0,0.0,0.0,185.0,0.0,1040.0,734.0,28.0,39.09
220.8,147.2,0.0,185.7,0.0,1055.0,744.3,7.0,13.09
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,270.0,74.17
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91.0,79.3
254.0,0.0,0.0,198.0,0.0,968.0,863.0,90.0,26.94
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,3.0,13.18
266.0,114.0,0.0,228.0,0.0,932.0,670.0,28.0,45.85
154.8,0.0,142.8,193.3,9.1,877.2,867.7,28.0,9.74
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90.0,39.36
152.7,144.7,0.0,178.1,8.0,999.7,822.2,28.0,19.01
305.3,203.5,0.0,203.5,0.0,965.4,631.0,3.0,14.14
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,3.0,10.76
202.0,11.0,141.0,206.0,1.7,942.0,801.0,28.0,21.97
108.3,162.4,0.0,203.5,0.0,938.2,849.0,90.0,29.23
153.1,145.0,113.0,178.5,8.0,1001.9,688.7,28.0,25.56
356.0,0.0,142.0,193.0,11.0,801.0,778.0,28.0,40.87
212.5,0.0,100.4,159.3,8.7,1007.8,903.6,100.0,42.92
275.1,0.0,121.4,159.5,9.9,1053.6,777.5,56.0,56.85
246.8,0.0,125.1,143.3,12.0,1086.8,800.9,100.0,66.42
212.0,141.3,0.0,203.5,0.0,973.4,750.0,90.0,39.7
305.0,0.0,100.0,196.0,10.0,959.0,705.0,28.0,30.12
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,90.0,47.22
288.0,121.0,0.0,177.0,7.0,908.0,829.0,28.0,42.13
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56.0,77.3
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,28.0,52.2
281.0,0.0,0.0,185.0,0.0,1104.0,774.0,28.0,22.44
165.0,0.0,143.6,163.8,0.0,1005.6,900.9,56.0,36.56
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,3.0,24.4
155.0,184.0,143.0,194.0,9.0,880.0,699.0,28.0,28.99
342.0,38.0,0.0,228.0,0.0,932.0,670.0,270.0,55.06
304.8,0.0,99.6,196.0,9.8,959.4,705.2,28.0,30.12
133.1,210.2,0.0,195.7,3.1,949.4,795.3,28.0,28.94
313.3,0.0,113.0,178.5,8.0,1001.9,688.7,28.0,36.8
266.0,114.0,0.0,228.0,0.0,932.0,670.0,180.0,48.7
290.4,0.0,96.2,168.1,9.4,961.2,865.0,3.0,22.5
284.0,15.0,141.0,179.0,5.5,842.0,801.0,28.0,43.73
252.3,0.0,98.8,146.3,14.2,987.8,889.0,14.0,42.29
424.0,22.0,132.0,168.0,8.9,822.0,750.0,3.0,32.11
252.0,0.0,0.0,185.0,0.0,1111.0,784.0,28.0,19.69
446.0,24.0,79.0,162.0,10.3,967.0,712.0,56.0,54.77
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3.0,35.3
393.0,0.0,0.0,192.0,0.0,940.6,785.6,90.0,48.85
152.6,238.7,0.0,200.0,6.3,1001.8,683.9,28.0,26.86
166.8,250.2,0.0,203.5,0.0,975.6,692.6,7.0,15.75
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,180.0,61.92
277.0,0.0,0.0,191.0,0.0,968.0,856.0,90.0,31.25
284.0,15.0,141.0,179.0,5.5,842.0,801.0,7.0,24.13
313.0,145.0,0.0,178.0,8.0,1002.0,689.0,28.0,41.05
142.0,167.0,130.0,174.0,11.0,883.0,785.0,28.0,44.61
198.6,132.4,0.0,192.0,0.0,978.4,825.5,3.0,9.13
238.1,0.0,94.1,186.7,7.0,949.9,847.0,28.0,30.23
143.8,136.3,106.2,178.1,7.5,941.5,774.3,28.0,26.15
298.0,0.0,107.0,210.0,11.0,880.0,744.0,28.0,31.87
382.0,0.0,0.0,186.0,0.0,1111.0,784.0,7.0,11.47
380.0,0.0,0.0,228.0,0.0,932.0,670.0,270.0,53.3
159.1,186.7,0.0,175.6,11.3,989.6,788.9,28.0,32.77
296.0,0.0,0.0,192.0,0.0,1085.0,765.0,28.0,21.65
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,28.0,52.2
302.0,0.0,0.0,203.0,0.0,974.0,817.0,14.0,18.13
331.0,0.0,0.0,192.0,0.0,978.0,825.0,360.0,41.24
166.0,260.0,0.0,183.0,13.0,859.0,827.0,28.0,37.91
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,100.0,66.95
162.0,190.1,148.1,178.8,18.8,838.1,741.4,28.0,33.76
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,28.0,31.74
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,100.0,50.94
250.0,0.0,95.7,191.8,5.3,948.9,857.2,14.0,24.66
